#{"t_start": 1693773786.888829, "env_id": "None"}
r,l,t
0.0,1,0.626083
0.0,1,0.628019
0.0,1,0.629905
0.0,1,0.631718
0.0,1,0.633651
0.0,1,0.635479
0.0,1,0.6373
0.0,1,0.639106
0.0,1,0.640986
0.0,1,0.642887
0.0,1,0.644787
0.0,1,0.646672
0.0,1,0.649875
0.0,1,0.651707
0.0,1,0.653516
0.0,1,0.655346
0.0,1,0.657222
0.0,1,0.659098
0.0,1,0.661044
0.0,1,0.663
0.0,1,0.66502
0.0,1,0.666914
0.0,1,0.668816
0.0,1,0.670724
0.0,1,0.672735
0.0,1,0.674628
0.0,1,0.676576
0.0,1,0.678596
0.0,1,0.680769
0.0,1,0.682737
0.0,1,0.68466
0.0,1,0.686557
0.0,1,0.6886
0.0,1,0.690566
0.0,1,0.692524
0.0,1,0.694491
0.0,1,0.696658
0.0,1,0.698643
0.0,1,0.700579
0.0,1,0.702523
0.0,1,0.70458
0.0,1,0.706533
0.0,1,0.70848
0.0,1,0.710445
0.0,1,0.712656
0.0,1,0.71472
0.0,1,0.716551
0.0,1,0.718416
0.0,1,0.720353
0.0,1,0.722213
0.0,1,0.72402
0.0,1,0.725887
0.0,1,0.727895
0.0,1,0.729824
0.0,1,0.731668
0.0,1,0.733507
0.0,1,0.735446
0.0,1,0.737295
0.0,1,0.739121
0.0,1,0.740967
0.0,1,0.742935
0.0,1,0.74487
0.0,1,0.746748
0.0,1,0.748601
0.0,1,0.75054
0.0,1,0.75239
0.0,1,0.754227
0.0,1,0.756059
0.0,1,0.75798
0.0,1,0.759915
0.0,1,0.761891
0.0,1,0.76377
0.0,1,0.765689
0.0,1,0.767502
0.0,1,0.769327
0.0,1,0.771168
0.0,1,0.773062
0.0,1,0.774913
0.0,1,0.776804
0.0,1,0.778784
0.0,1,0.78082
0.0,1,0.782638
0.0,1,0.784435
0.0,1,0.786242
0.0,1,0.788121
0.0,1,0.789957
0.0,1,0.791794
0.0,1,0.793717
0.0,1,0.795722
0.0,1,0.797563
0.0,1,0.799385
0.0,1,0.801193
0.0,1,0.803105
0.0,1,0.804951
0.0,1,0.806772
0.0,1,0.80863
0.0,1,0.810647
0.0,1,0.812573
0.0,1,0.814429
0.0,1,0.816267
0.0,1,0.818229
0.0,1,0.820079
0.0,1,0.821916
0.0,1,0.823755
0.0,1,0.825696
0.0,1,0.827657
0.0,1,0.829562
0.0,1,0.831408
0.0,1,0.833352
0.0,1,0.835197
0.0,1,0.837013
0.0,1,0.838838
0.0,1,0.842037
0.0,1,0.843976
0.0,1,0.845934
0.0,1,0.847773
0.0,1,0.849723
0.0,1,0.851538
0.0,1,0.853355
0.0,1,0.855174
0.0,1,0.857066
0.0,1,0.85895
0.0,1,0.860894
0.0,1,0.862781
0.0,1,0.864701
0.0,1,0.866533
0.0,1,0.868348
0.0,1,0.870163
0.0,1,0.872062
0.0,1,0.873905
0.0,1,0.875772
0.0,1,0.877714
0.0,1,0.879795
0.0,1,0.881628
0.0,1,0.88345
0.0,1,0.885258
0.0,1,0.887143
0.0,1,0.888975
0.0,1,0.890812
0.0,1,0.89269
0.0,1,0.89471
0.0,1,0.896585
0.0,1,0.8984
0.0,1,0.900221
0.0,1,0.902126
0.0,1,0.90394
0.0,1,0.905738
0.0,1,0.907547
0.0,1,0.909536
0.0,1,0.911583
0.0,1,0.913457
0.0,1,0.915281
0.0,1,0.917204
0.0,1,0.919018
0.0,1,0.920843
0.0,1,0.922662
0.0,1,0.924537
0.0,1,0.926485
0.0,1,0.928511
0.0,1,0.930338
0.0,1,0.932265
0.0,1,0.934084
0.0,1,0.935886
0.0,1,0.937693
0.0,1,0.939587
0.0,1,0.941455
0.0,1,0.943387
0.0,1,0.945325
0.0,1,0.947393
0.0,1,0.949218
0.0,1,0.951028
0.0,1,0.952843
0.0,1,0.954727
0.0,1,0.956548
0.0,1,0.958417
0.0,1,0.960377
0.0,1,0.962481
0.0,1,0.964324
0.0,1,0.966133
0.0,1,0.967953
0.0,1,0.969837
0.0,1,0.971642
0.0,1,0.973453
0.0,1,0.975313
0.0,1,0.977328
0.0,1,0.979294
0.0,1,0.981155
0.0,1,0.982983
0.0,1,0.984923
0.0,1,0.986738
0.0,1,0.988576
0.0,1,0.990417
0.0,1,0.992357
0.0,1,0.994291
0.0,1,0.996206
0.0,1,0.998061
0.0,1,1.000013
0.0,1,1.001862
0.0,1,1.003696
0.0,1,1.005532
0.0,1,1.007441
0.0,1,1.009385
0.0,1,1.011356
0.0,1,1.013231
0.0,1,1.015149
0.0,1,1.017001
0.0,1,1.01883
0.0,1,1.020645
0.0,1,1.022515
0.0,1,1.024338
0.0,1,1.026188
0.0,1,1.02814
0.0,1,1.031433
0.0,1,1.033259
0.0,1,1.035073
0.0,1,1.036885
0.0,1,1.038768
0.0,1,1.040589
0.0,1,1.0424
0.0,1,1.044335
0.0,1,1.046546
0.0,1,1.048569
0.0,1,1.050547
0.0,1,1.052523
0.0,1,1.05462
0.0,1,1.056615
0.0,1,1.058586
0.0,1,1.06055
0.0,1,1.062672
0.0,1,1.064665
0.0,1,1.066672
0.0,1,1.068638
0.0,1,1.07076
0.0,1,1.072763
0.0,1,1.074744
0.0,1,1.076688
0.0,1,1.078764
0.0,1,1.080685
0.0,1,1.08249
0.0,1,1.084321
0.0,1,1.086233
0.0,1,1.088065
0.0,1,1.089897
0.0,1,1.091744
0.0,1,1.09374
0.0,1,1.095728
0.0,1,1.097602
0.0,1,1.099441
0.0,1,1.101395
0.0,1,1.103229
0.0,1,1.105096
0.0,1,1.106924
0.0,1,1.108862
0.0,1,1.110768
0.0,1,1.112652
0.0,1,1.114471
0.0,1,1.116446
0.0,1,1.11827
0.0,1,1.120083
0.0,1,1.121913
0.0,1,1.123852
0.0,1,1.125717
0.0,1,1.127627
0.0,1,1.129656
0.0,1,1.131644
0.0,1,1.13347
0.0,1,1.135296
0.0,1,1.137125
0.0,1,1.139033
0.0,1,1.140867
0.0,1,1.142763
0.0,1,1.144716
0.0,1,1.146778
0.0,1,1.148614
0.0,1,1.150445
0.0,1,1.152274
0.0,1,1.154168
0.0,1,1.156014
0.0,1,1.157873
0.0,1,1.159749
0.0,1,1.161755
0.0,1,1.163648
0.0,1,1.165478
0.0,1,1.167303
0.0,1,1.169247
0.0,1,1.171081
0.0,1,1.17293
0.0,1,1.174776
0.0,1,1.176734
0.0,1,1.178675
0.0,1,1.18051
0.0,1,1.182348
0.0,1,1.184305
0.0,1,1.18615
0.0,1,1.187981
0.0,1,1.189815
0.0,1,1.191721
0.0,1,1.193635
0.0,1,1.195659
0.0,1,1.197526
0.0,1,1.199471
0.0,1,1.201311
0.0,1,1.203147
0.0,1,1.204977
0.0,1,1.206856
0.0,1,1.208687
0.0,1,1.210595
0.0,1,1.212467
0.0,1,1.214405
0.0,1,1.216207
0.0,1,1.21802
0.0,1,1.219846
0.0,1,1.222906
0.0,1,1.224729
0.0,1,1.226605
0.0,1,1.228503
0.0,1,1.2305
0.0,1,1.232328
0.0,1,1.234152
0.0,1,1.23598
0.0,1,1.237875
0.0,1,1.239666
0.0,1,1.241448
0.0,1,1.243314
0.0,1,1.245357
0.0,1,1.247211
0.0,1,1.24901
0.0,1,1.250802
0.0,1,1.25265
0.0,1,1.254455
0.0,1,1.256244
0.0,1,1.258035
0.0,1,1.259988
0.0,1,1.26192
0.0,1,1.263714
0.0,1,1.265529
0.0,1,1.267468
0.0,1,1.269288
0.0,1,1.2711
0.0,1,1.27294
0.0,1,1.274844
0.0,1,1.276746
0.0,1,1.27863
0.0,1,1.280471
0.0,1,1.282385
0.0,1,1.284187
0.0,1,1.285979
0.0,1,1.287769
0.0,1,1.28964
0.0,1,1.291422
0.0,1,1.293311
0.0,1,1.295199
0.0,1,1.297151
0.0,1,1.298947
0.0,1,1.30077
0.0,1,1.302566
0.0,1,1.304472
0.0,1,1.306297
0.0,1,1.308112
0.0,1,1.310034
0.0,1,1.312118
0.0,1,1.313961
0.0,1,1.31579
0.0,1,1.317621
0.0,1,1.319524
0.0,1,1.321352
0.0,1,1.323174
0.0,1,1.324991
0.0,1,1.326969
0.0,1,1.328979
0.0,1,1.330787
0.0,1,1.33259
0.0,1,1.334492
0.0,1,1.336286
0.0,1,1.338075
0.0,1,1.339867
0.0,1,1.341733
0.0,1,1.343607
0.0,1,1.34548
0.0,1,1.347295
0.0,1,1.349193
0.0,1,1.350998
0.0,1,1.352779
0.0,1,1.354581
0.0,1,1.356473
0.0,1,1.358313
0.0,1,1.360219
0.0,1,1.362168
0.0,1,1.364152
0.0,1,1.365979
0.0,1,1.367809
0.0,1,1.369641
0.0,1,1.371533
0.0,1,1.373358
0.0,1,1.375184
0.0,1,1.377103
0.0,1,1.379195
0.0,1,1.381032
0.0,1,1.382854
0.0,1,1.384674
0.0,1,1.386556
0.0,1,1.388383
0.0,1,1.390201
0.0,1,1.392031
0.0,1,1.393996
0.0,1,1.395905
0.0,1,1.397708
0.0,1,1.399522
0.0,1,1.401425
0.0,1,1.40322
0.0,1,1.405012
0.0,1,1.406829
0.0,1,1.410025
0.0,1,1.412006
0.0,1,1.413886
0.0,1,1.415701
0.0,1,1.417615
0.0,1,1.41943
0.0,1,1.421259
0.0,1,1.423085
0.0,1,1.425002
0.0,1,1.426928
0.0,1,1.428931
0.0,1,1.430797
0.0,1,1.432708
0.0,1,1.434506
0.0,1,1.436324
0.0,1,1.438186
0.0,1,1.440114
0.0,1,1.441967
0.0,1,1.443871
0.0,1,1.445817
0.0,1,1.447789
0.0,1,1.4496
0.0,1,1.451391
0.0,1,1.453211
0.0,1,1.45512
0.0,1,1.456949
0.0,1,1.458807
0.0,1,1.460709
0.0,1,1.462717
0.0,1,1.464554
0.0,1,1.466368
0.0,1,1.468164
0.0,1,1.470039
0.0,1,1.471852
0.0,1,1.473654
0.0,1,1.475496
0.0,1,1.477484
0.0,1,1.479357
0.0,1,1.481172
0.0,1,1.482976
0.0,1,1.484889
0.0,1,1.486718
0.0,1,1.488566
0.0,1,1.490397
0.0,1,1.492323
0.0,1,1.494237
0.0,1,1.496142
0.0,1,1.497985
0.0,1,1.499964
0.0,1,1.501801
0.0,1,1.503632
0.0,1,1.505475
0.0,1,1.507376
0.0,1,1.509254
0.0,1,1.511217
0.0,1,1.513163
0.0,1,1.515128
0.0,1,1.516965
0.0,1,1.51879
0.0,1,1.520625
0.0,1,1.522534
0.0,1,1.524378
0.0,1,1.526255
0.0,1,1.528178
0.0,1,1.530218
0.0,1,1.532068
0.0,1,1.533918
0.0,1,1.53575
0.0,1,1.537655
0.0,1,1.5395
0.0,1,1.541323
0.0,1,1.543254
0.0,1,1.545418
0.0,1,1.547271
0.0,1,1.549106
0.0,1,1.550949
0.0,1,1.552818
0.0,1,1.554614
0.0,1,1.55642
0.0,1,1.558215
0.0,1,1.560211
0.0,1,1.562297
0.0,1,1.564303
0.0,1,1.56628
0.0,1,1.568373
0.0,1,1.570337
0.0,1,1.572291
0.0,1,1.574265
0.0,1,1.576378
0.0,1,1.578392
0.0,1,1.580405
0.0,1,1.582487
0.0,1,1.584581
0.0,1,1.586591
0.0,1,1.58859
0.0,1,1.59061
0.0,1,1.592728
0.0,1,1.594718
0.0,1,1.596598
0.0,1,1.598408
0.0,1,1.601622
0.0,1,1.603442
0.0,1,1.605269
0.0,1,1.60711
0.0,1,1.609051
0.0,1,1.611004
0.0,1,1.612875
0.0,1,1.614716
0.0,1,1.616679
0.0,1,1.61852
0.0,1,1.620335
0.0,1,1.622171
0.0,1,1.624094
0.0,1,1.625946
0.0,1,1.62785
0.0,1,1.629744
0.0,1,1.631673
0.0,1,1.633504
0.0,1,1.635335
0.0,1,1.637158
0.0,1,1.639067
0.0,1,1.640901
0.0,1,1.642793
0.0,1,1.64472
0.0,1,1.646713
0.0,1,1.648552
0.0,1,1.65038
0.0,1,1.652198
0.0,1,1.654099
0.0,1,1.655932
0.0,1,1.657762
0.0,1,1.659663
0.0,1,1.661708
0.0,1,1.663577
0.0,1,1.66539
0.0,1,1.667218
0.0,1,1.669127
0.0,1,1.670943
0.0,1,1.67277
0.0,1,1.6746
0.0,1,1.676548
0.0,1,1.678453
0.0,1,1.680299
0.0,1,1.682115
0.0,1,1.684046
0.0,1,1.685866
0.0,1,1.687679
0.0,1,1.689506
0.0,1,1.691421
0.0,1,1.69332
0.0,1,1.695286
0.0,1,1.697142
0.0,1,1.699064
0.0,1,1.700901
0.0,1,1.702727
0.0,1,1.704545
0.0,1,1.706443
0.0,1,1.708291
0.0,1,1.710153
0.0,1,1.712069
0.0,1,1.714076
0.0,1,1.7159
0.0,1,1.717708
0.0,1,1.719502
0.0,1,1.721366
0.0,1,1.723167
0.0,1,1.724968
0.0,1,1.726873
0.0,1,1.729001
0.0,1,1.73084
0.0,1,1.732661
0.0,1,1.734486
0.0,1,1.736387
0.0,1,1.738207
0.0,1,1.74004
0.0,1,1.741872
0.0,1,1.743808
0.0,1,1.745775
0.0,1,1.747656
0.0,1,1.749445
0.0,1,1.751357
0.0,1,1.753151
0.0,1,1.754963
0.0,1,1.756805
0.0,1,1.758715
0.0,1,1.760604
0.0,1,1.762504
0.0,1,1.764339
0.0,1,1.766266
0.0,1,1.768107
0.0,1,1.769929
0.0,1,1.771746
0.0,1,1.773642
0.0,1,1.775483
0.0,1,1.777382
0.0,1,1.779387
0.0,1,1.781341
0.0,1,1.783158
0.0,1,1.784983
0.0,1,1.786803
0.0,1,1.789872
0.0,1,1.791719
0.0,1,1.793606
0.0,1,1.795464
0.0,1,1.797399
0.0,1,1.799224
0.0,1,1.801019
0.0,1,1.802848
0.0,1,1.804763
0.0,1,1.8066
0.0,1,1.808441
0.0,1,1.810347
0.0,1,1.812303
0.0,1,1.814142
0.0,1,1.81597
0.0,1,1.817808
0.0,1,1.819714
0.0,1,1.821546
0.0,1,1.823366
0.0,1,1.825204
0.0,1,1.827184
0.0,1,1.829049
0.0,1,1.830853
0.0,1,1.832679
0.0,1,1.834609
0.0,1,1.836435
0.0,1,1.838278
0.0,1,1.840102
0.0,1,1.842007
0.0,1,1.843923
0.0,1,1.845865
0.0,1,1.847698
0.0,1,1.849646
0.0,1,1.85148
0.0,1,1.853305
0.0,1,1.855145
0.0,1,1.857042
0.0,1,1.858886
0.0,1,1.86082
0.0,1,1.86272
0.0,1,1.86464
0.0,1,1.86646
0.0,1,1.868295
0.0,1,1.870124
0.0,1,1.872034
0.0,1,1.873879
0.0,1,1.875744
0.0,1,1.877669
0.0,1,1.879671
0.0,1,1.881539
0.0,1,1.883407
0.0,1,1.885243
0.0,1,1.887179
0.0,1,1.889014
0.0,1,1.89084
0.0,1,1.892715
0.0,1,1.89477
0.0,1,1.89664
0.0,1,1.898449
0.0,1,1.90028
0.0,1,1.902229
0.0,1,1.904093
0.0,1,1.905946
0.0,1,1.907789
0.0,1,1.90979
0.0,1,1.911826
0.0,1,1.913652
0.0,1,1.915469
0.0,1,1.917421
0.0,1,1.919253
0.0,1,1.921083
0.0,1,1.922909
0.0,1,1.924809
0.0,1,1.926692
0.0,1,1.928597
0.0,1,1.930473
0.0,1,1.932417
0.0,1,1.934265
0.0,1,1.936092
0.0,1,1.937923
0.0,1,1.939823
0.0,1,1.94166
0.0,1,1.943562
0.0,1,1.945555
0.0,1,1.947519
0.0,1,1.949348
0.0,1,1.951176
0.0,1,1.953015
0.0,1,1.954916
0.0,1,1.956752
0.0,1,1.958609
0.0,1,1.960507
0.0,1,1.962533
0.0,1,1.964365
0.0,1,1.96617
0.0,1,1.968007
0.0,1,1.969913
0.0,1,1.971743
0.0,1,1.973574
